500 1500
484 186 48
379 456 42
153 56 16
60 148 20
149 238 92
381 346 59
395 438 6
153 326 22
408 497 59
327 473 80
409 458 66
56 189 75
397 342 83
264 255 31
283 404 21
26 137 67
484 384 58
41 37 84
63 445 33
373 125 7
152 386 65
470 294 6
244 191 100
426 307 55
108 90 11
29 468 48
295 305 32
352 346 69
88 409 67
320 135 92
26 287 30
42 109 24
247 353 67
147 131 74
153 240 16
64 269 84
111 416 89
43 121 88
11 209 49
277 381 84
20 260 24
149 302 33
72 402 87
38 401 70
163 54 10
378 118 31
62 230 100
402 125 21
89 488 82
38 266 15
121 138 75
344 140 30
177 212 32
215 103 85
384 266 91
146 145 10
176 59 92
475 461 69
247 51 57
80 89 75
295 62 14
269 407 54
250 436 18
281 151 73
417 35 40
108 33 37
269 210 96
12 37 9
380 137 60
88 217 1
63 364 16
28 134 23
133 384 11
450 18 62
223 287 49
114 395 83
150 16 45
97 380 34
5 260 71
317 201 41
69 264 5
384 144 91
106 277 28
116 79 46
129 154 85
178 268 81
112 270 49
108 367 30
141 225 42
312 42 43
404 463 59
8 348 55
99 306 32
426 275 64
123 404 18
107 434 87
339 398 9
440 6 29
69 148 54
310 312 48
105 216 11
15 76 59
70 175 18
401 453 93
164 428 97
434 36 84
472 227 82
280 167 89
308 88 89
413 399 1
60 356 69
23 371 45
333 441 73
450 195 26
342 211 55
491 145 43
74 117 22
407 250 90
247 410 78
235 324 29
387 236 85
255 259 9
200 93 2
24 43 97
449 238 61
155 229 58
249 155 28
71 414 78
60 162 88
489 249 64
170 137 1
354 244 60
114 296 5
316 320 1
64 122 39
376 277 20
334 27 27
261 450 41
290 362 55
377 351 5
493 21 94
493 228 38
104 194 35
161 362 55
261 427 77
451 303 7
222 489 86
148 250 36
340 40 98
195 270 1
151 115 75
244 108 55
81 64 49
215 225 12
22 338 91
450 289 46
8 11 36
93 11 38
480 352 31
229 399 1
330 50 16
156 294 76
210 227 92
458 295 18
421 317 56
311 119 98
209 128 61
244 73 73
381 54 77
411 283 76
63 465 78
330 121 24
57 331 51
349 142 46
218 415 15
73 79 87
422 288 15
283 32 88
7 265 42
83 29 78
410 92 43
287 275 65
310 184 48
412 33 42
458 251 58
24 177 37
210 99 77
376 382 61
264 389 26
57 324 55
134 234 100
29 373 27
45 35 11
392 448 97
86 258 48
195 282 25
31 345 77
359 221 11
219 485 53
344 395 77
351 381 64
302 410 89
380 455 25
290 200 73
86 138 31
486 333 65
62 216 10
238 75 84
1 294 21
153 490 16
481 341 98
44 495 60
333 375 68
9 166 20
281 104 58
163 90 91
179 5 7
41 243 34
124 244 28
44 249 18
360 231 12
409 127 7
220 312 35
339 321 53
158 454 57
115 117 100
257 149 5
115 190 100
48 314 97
127 358 46
197 70 77
108 331 57
366 52 69
352 391 91
4 402 97
113 369 15
164 127 16
220 242 6
19 143 20
415 270 78
413 467 1
289 427 32
145 294 36
166 146 80
8 3 82
304 116 3
70 280 30
485 352 25
90 371 68
9 139 90
139 52 58
191 193 37
222 191 31
10 357 30
41 217 85
474 21 1
276 92 33
206 429 85
82 20 8
249 381 47
38 372 51
147 63 97
184 138 88
366 148 97
47 41 14
231 15 35
383 291 79
167 497 61
303 79 81
311 180 14
309 71 39
212 70 2
308 254 92
447 473 40
443 372 81
156 456 48
242 339 40
273 359 37
233 162 69
65 325 1
278 487 72
216 51 43
70 359 49
61 158 74
53 101 47
85 257 3
133 351 94
472 124 5
160 357 20
280 274 97
81 53 36
452 121 87
246 191 98
147 105 56
20 158 57
118 243 66
172 376 70
418 200 94
22 361 4
429 438 23
482 73 28
456 260 26
499 9 25
104 65 98
262 73 68
358 191 41
234 160 59
287 105 81
148 260 75
141 190 13
216 24 38
95 480 98
72 480 60
197 84 77
194 199 50
13 57 41
153 143 53
211 430 59
144 430 71
218 72 13
82 288 38
19 235 70
69 307 50
128 356 87
104 402 86
5 416 95
98 69 38
350 133 69
60 129 51
383 199 23
395 281 63
432 152 98
302 221 58
3 201 14
289 305 69
126 163 85
20 261 6
410 111 39
378 24 20
128 407 19
303 302 52
117 87 5
167 389 78
24 244 80
89 34 37
57 12 100
293 385 61
99 295 25
37 25 49
309 5 8
427 308 62
31 426 49
287 445 90
264 469 35
443 410 21
132 320 33
131 113 18
392 212 13
468 102 38
